રોગ,વર્ણન,લક્ષણો,ઘરેલું ઉપાય,સારવાર
(વર્ટિગો) પેરોમિઝલ પોઝિશનલ વર્ટિગો,"વર્ટિગો એક ખોટી સંવેદના છે કે તમે અથવા તમારા આસપાસના સ્થળાંતર થઈ રહ્યા છે. ઉત્તેજનાને સ્પિનિંગ, વમળ અથવા orભી અથવા આડી ખસેડવાની તરીકે વર્ણવવામાં આવે છે. વર્ટિગો એટેકસ સતત અથવા છૂટાછવાયા હોઈ શકે છે અને સેકંડથી લઈને દિવસ સુધી ચાલે છે.","વર્ટિગોના સૌથી સામાન્ય કારણો કાનની અંદરની ચેપ અથવા કાનના રોગો છે જેમ કે સૌમ્ય પેરોક્સિસ્મલ પોઝિશનલ વર્ટિગો (બીપીપીવી), વેસ્ટિબ્યુલર ન્યુરિટિસ અને મેનિયર રોગ. જ્યારે બી.પી.પી.વી. થઇ શકે છે જ્યારે કેલ્શિયમ આંતરિક કાનની નહેરો બનાવે છે, ત્યારે સંક્ષિપ્તમાં ચક્કર આવે છે જે 20 સેકંડથી એક મિનિટ સુધી ચાલે છે. તે સામાન્ય રીતે માથામાં આઘાત દ્વારા અથવા માથાને અમુક સ્થળોએ ખસેડીને લાવવામાં આવે છે.
વેસ્ટિબ્યુલર ન્યુરિટિસ આંતરિક કાનના ચેપ દ્વારા લાવવામાં આવે છે જે ચેતાની આસપાસ બળતરાનું કારણ બને છે જે શરીરને સંતુલન સમજવામાં મદદ કરે છે. તે ચક્કરના ગંભીર તકરારમાં પરિણમે છે જે એક દિવસ અથવા વધુ સમય સુધી ટકી શકે છે અને કેટલીકવાર સુનાવણીમાં ઘટાડો થાય છે. 'વ્યક્તિને એક કે બે દિવસ ચક્કર આવે છે અને પછી સંતુલન બંધ રહે છે,' હેનસેને સમજાવ્યું. ક્લેવલેન્ડ ક્લિનિક કહે છે કે 95 ટકા દર્દીઓ સંપૂર્ણ પુન recoveryપ્રાપ્તિ કરે છે અને ફરી ક્યારેય નથી. મેનીઅરનો રોગ આંતરિક કાનમાં પ્રવાહી અને દબાણ વધારવાને કારણે થાય છે અને કાનમાં વાગવા અને સુનાવણીની ખોટ સાથે ચક્કર આવે છે. ચક્કરના ઓછા સામાન્ય કારણોમાં માથા અથવા મગજની ઇજાઓ અથવા માઇગ્રેઇન્સ શામેલ હોઈ શકે છે.","- બદામ એ ​​વિટામિન એ, બી અને ઇના સમૃદ્ધ સ્રોત છે. દરરોજ મૂઠ્ઠીભર બદામ ખાવાથી ચક્કરના લક્ષણોમાં મદદ મળી શકે છે.  હાઇડ્રેટેડ રહેવું ચક્કર અને સંતુલનના પ્રશ્નોને ઘટાડવામાં મદદ કરી શકે છે.                                                                                                           - ઉબકા,માથાનો દુખાવો અને ચક્કર સહિત ચક્કરના લક્ષણોનું સંચાલન કરવા માટે આવશ્યક તેલ કુદરતી અને સસ્તું વિકલ્પો છે. માનવામાં આવે છે કે સફરજન સીડર સરકો અને મધ બંને મગજમાં લોહીના પ્રવાહને દૂર કરવા માટે રોગનિવારક ગુણધર્મો ધરાવે છે. બે ભાગ મધ અને એક ભાગ સફરજન સીડર સરકો ચક્કરના લક્ષણો અટકાવી શકે છે અને સારવાર કરી શકે છે.","મોટે ભાગે, ચક્કર સારવાર વિના ઉકેલે છે, કારણ કે મગજ કોઈના સંતુલનને પુનર્સ્થાપિત કરવા માટે આંતરિક કાનમાં થતા ફેરફારોની ભરપાઈ કરી શકે છે.  સ્ટીરોઇડ્સ જેવી દવાઓ, કાનની અંદરની બળતરા ઘટાડી શકે છે, અને પાણીની ગોળીઓ પ્રવાહી બિલ્ડઅપ ઘટાડી શકે છે. જે લોકોમાં વર્ટિગોના વારંવારના એપિસોડ હોય છે, વેસ્ટિબ્યુલર રિહેબિલિટેશન નામની શારીરિક ઉપચાર મદદ કરી શકે છે. વેસ્ટિબ્યુલર પુનર્વસન આંતરિક કાનની સમસ્યાઓ માટે વળતર આપવા માટે સેન્ટ્રલ નર્વસ સિસ્ટમને પ્રોત્સાહિત કરે છે."
એડ્સ,"હસ્તગત ઇમ્યુનોડેફિસિયન્સી સિંડ્રોમ (એઇડ્સ) એ માનવ ઇમ્યુનોડિફિશિયન્સ વાયરસ (એચઆઇવી) દ્વારા થતી એક લાંબી, સંભવિત જીવન માટે જોખમી સ્થિતિ છે. તમારી રોગપ્રતિકારક શક્તિને નુકસાન પહોંચાડીને, એચ.આય.વી ચેપ અને રોગ સામે લડવાની તમારા શરીરની ક્ષમતામાં દખલ કરે છે.

એચ.આય.વી એ સેક્સ્યુઅલી ટ્રાન્સમિટ ઇન્ફેક્શન (એસટીઆઈ) છે. તે ચેપગ્રસ્ત લોહીના સંપર્ક દ્વારા અથવા માતાથી બાળક સુધી ગર્ભાવસ્થા દરમિયાન, બાળકના જન્મ દરમિયાન અથવા સ્તનપાન દ્વારા પણ ફેલાય છે. દવા વગર, એચ.આય.વી તમારી રોગપ્રતિકારક શક્તિને નબળા બનાવે તે પહેલાં ઘણા વર્ષોનો સમય લેશે જ્યાં તમને એડ્સ છે.

એચ.આય.વી / એઇડ્સનો કોઈ ઉપાય નથી, પરંતુ દવાઓ રોગની પ્રગતિને નાટકીયરૂપે ધીમી કરી શકે છે. આ દવાઓથી ઘણા વિકસિત દેશોમાં એડ્સના મૃત્યુમાં ઘટાડો થયો છે.","- એઇડ્સ(AIDS) એચ.આય.વી(HIV) દ્વારા થાય છે. જો વ્યક્તિને એચ.આય.વી સંક્રમિત ન હોય તો તે વ્યક્તિને એડ્સ નથી થઈ શકતી.
- તંદુરસ્ત વ્યક્તિઓ પાસે CD4 ગણતરી 500 થી 1,500 પ્રતિ ઘન મિલિમીટર છે. સારવાર વિના, એચ.આય.વી CD4 કોષોને ગુણાકાર અને નાશ કરવાનું ચાલુ રાખે છે. જો કોઈ વ્યક્તિની CD4 ની ગણતરી 200 ની નીચે આવે છે, તો તેને એડ્સ છે.
- ઉપરાંત, જો એચ.આય.વી.વાળા કોઈને એચ.આય.વી સાથે સંકળાયેલ તકવાદી ચેપનો વિકાસ થાય છે, તો પણ તેમનું નિદાન એડ્સથી થઈ શકે છે, પછી ભલે તેમની CD4 ની ગણતરી 200 થી ઉપર હોય.
 
એચ.આય.વી(HIV) ના કારણો:
-એચ.આય. વી એ વાયરસની વિવિધતા છે જે આફ્રિકન ચિમ્પાન્ઝીઝને ચેપ લગાડે છે. વૈજ્entistsાનિકોને શંકા છે કે જ્યારે લોકો ચેપગ્રસ્ત ચિમ્પાંજી માંસનું સેવન કરે છે ત્યારે સિમિઅન ઇમ્યુનોડિફિશિયન્સ વાયરસ (એસઆઈવી) ચિમ્પ્સથી મનુષ્ય તરફ ગયો હતો. એકવાર માનવ વસ્તીની અંદર, વાયરસ પરિવર્તિત થઈ ગયો જેને આપણે હવે એચ.આય. વી તરીકે ઓળખીએ છીએ. આવું સંભવત 1920 ના દાયકાની જેમ થયું હતું.
-એચ.આય.વી એ ઘણાં દાયકાઓ દરમિયાન, સમગ્ર આફ્રિકામાં વ્યક્તિથી વ્યક્તિમાં ફેલાય છે. આખરે, વાયરસ વિશ્વના અન્ય ભાગોમાં સ્થળાંતર થયો. વૈજ્entistsાનિકોએ 1959 માં પ્રથમ વખત માનવ રક્તના નમૂનામાં એચ.આય.વી.
-એવું માનવામાં આવે છે કે એચ.આય.વી એ યુનાઇટેડ સ્ટેટ્સમાં 1970 ના દાયકાથી અસ્તિત્વમાં છે, પરંતુ 1980 ના દાયકા સુધી તે લોકોની ચેતનામાં ફટકારવાનું શરૂ કરી શક્યું નહીં.","જો તમે એચ.આય. વી.-પોઝિટિવ હો તો સ્વસ્થ આહારના મૂળ સિદ્ધાંતો પણ તમારી સારી સેવા કરશે. આ સિદ્ધાંતો શામેલ છે:
- શાકભાજી, ફળો, આખા અનાજ અને શાકભાજીનું પ્રમાણ વધારે છે
- પ્રોટીનના પાતળા, ઓછી ચરબીવાળા સ્રોત પસંદ કરી રહ્યા છીએ
- ઉમેરવામાં ખાંડ સાથે મીઠાઈઓ, સોફ્ટ ડ્રિંક્સ અને ખોરાક મર્યાદિત કરો
- પ્રોટીન, કાર્બોહાઇડ્રેટ્સ અને તમામ ભોજન અને નાસ્તામાં થોડી સારી ચરબી શામેલ છે 
સ્વસ્થ આહાર યોજનાથી તમને પ્રારંભ કરવા માટે અહીં વધુ વિશિષ્ટ માહિતી આપવામાં આવી છે.

કેલરી એ ખોરાકમાં energyર્જા છે જે તમારા શરીરને બળતણ પ્રદાન કરે છે. તમારા દુર્બળ બોડી માસને જાળવવા માટે, તમારે કેલરી વધારવાની જરૂર પડી શકે છે. પૂરતી કેલરી મેળવવા માટે:

- જો તમે તમારું વજન જાળવી રહ્યા હોવ તો તમારા શરીરના વજનના પાઉન્ડ દીઠ 17 કેલરીનો વપરાશ કરો.
- જો તમને તકવાદી ચેપ લાગ્યો હોય તો 20 પાઉન્ડ દીઠ કેલરી લો.
- જો તમારું વજન ઓછું થઈ રહ્યું છે તો 25 પાઉન્ડ દીઠ કેલરી લો.

પ્રોટીન સ્નાયુઓ, અવયવો અને મજબૂત રોગપ્રતિકારક શક્તિ બનાવવામાં મદદ કરે છે. યોગ્ય પ્રકારનાં પ્રોટીન મેળવવા માટે:

- જો તમે એચઆઇવી-પોઝિટિવ માણસ છો, તો દિવસમાં 100-150 ગ્રામ લક્ષ્ય રાખશો.
- જો તમે એચ.આય.વી. પોઝિટિવ મહિલા છો, તો દિવસમાં 80-100 ગ્રામ લક્ષ્ય રાખશો.
- જો તમને કિડનીનો રોગ છે, તો પ્રોટીનથી તમારી 15% -20% કરતાં વધુ કેલરી ન લો; ખૂબ તમારી કિડની પર તાણ લાવી શકે છે.
- અતિરિક્ત દુર્બળ ડુક્કરનું માંસ અથવા માંસ, ત્વચા વગરની ચિકન સ્તન, માછલી અને ઓછી ચરબીવાળા ડેરી ઉત્પાદનો પસંદ કરો.
- વધારાની પ્રોટીન મેળવવા માટે, ફળ, શાકભાજી અથવા ટોસ્ટ પર અખરોટનું માખણ ફેલાવો; ચટણી, સૂપ, બટાટા અથવા બાફેલા શાકભાજીમાં પનીર ઉમેરો; સલાડ અથવા કેસરોલ્સમાં તૈયાર ટ્યૂના ઉમેરો.","એચ.આય.વી (HIV) ચેપ અટકાવવા માટે કોઈ રસી નથી અને એડ્સ (AIDS) માટે કોઈ ઉપાય નથી. પરંતુ તમે તમારી જાતને અને અન્ય લોકોને ચેપથી બચાવી શકો છો.

એચ.આય.વી.ના ફેલાવાને રોકવામાં સહાય માટે:
- નિવારણ (ટીએસપી) તરીકે સારવારનો ઉપયોગ કરો.
- જો તમને એચ.આય.વી.નો સંપર્ક થયો હોય તો એક્સપોઝર પોસ્ટ પ્રોફીલેક્સીસ (પીઈપી) નો ઉપયોગ કરો.
- જ્યારે પણ તમે સેક્સ કરો ત્યારે એક નવો કોન્ડોમ વાપરો.
- પ્રિપ્રોઝર પ્રોફીલેક્સીસ (PREP) ને ધ્યાનમાં લો.
- જો તમને એચ.આય. વી છે તો તમારા જાતીય ભાગીદારોને કહો.
- સ્વચ્છ સોય(needle) વાપરો.
- જો તમે ગર્ભવતી છો, તો તરત જ તબીબી સંભાળ મેળવો.- પુરુષ સુન્નત ધ્યાનમાં લો.
"
ખીલ,,,,
આલ્કોહોલિક હીપેટાઇટિસ,,,,
એલર્જી,,,,
સંધિવા,"સંધિવા એ એક સામાન્ય રોગ છે જેમાં દર્દીના એક અથવા ઘણા સાંધામાં દુખાવો, જડતા અથવા સોજો આવે છે. આ રોગમાં, સાંધામાં ગઠ્ઠો રચાય છે અને ચોરીની જેમ તીવ્ર પીડા થાય છે. આ રોગ રક્તમાં યુરિક એસિડના સ્તરમાં વધારો થવાને કારણે થાય છે, મુખ્યત્વે યુરિક એસિડના ઘટાડાને કારણે.","- 12% દર્દીઓમાં આહાર સંધિવાનું મુખ્ય કારણ માનવામાં આવે છે. આલ્કોહોલ, ફ્રુટોઝથી ભરપુર પીણાં, માંસ, માછલીનું સેવન કરવાથી સંધિવાનું જોખમ વધે છે.
- મેટાબોલિક ડિસફંક્શન
- જાડાપણું
એવા ઘણા રોગો પણ છે જે સંધિવા રોગનું કારણ બને છે. આ રોગો છે:
- કિડની રોગ
- મેટાબોલિક સિન્ડ્રોમ
- પોલીસીથેમિયા
- સીસા ઝેર
- કિડની ટ્રી
- હેમોલિટીક એનિમિયા
- સોરાયસીસઅને અંગની ફેરબદલ
- મૂત્રવર્ધક દવા (હાઇડ્રોક્લોરોથિયાઝાઇડ) લેવાથી પણ સંધિવા થઈ શકે છે.
- નિયાસિન, એસ્પિરિન, સાયક્લોસ્પરીન અને ટેક્રોલિમસ જેવી દવાઓ પણ સંધિવા રોગનું કારણ બની શકે છે.","મોટાભાગે લોકો વૃધ્ધિ થતાં સંધિવાની ફરિયાદ કરવાનું શરૂ કરે છે. આ પાછળનું સૌથી મોટું કારણ શરીરમાં યુરિક એસિડનું વધારે પ્રમાણ છે. જ્યારે યુરિક એસિડ શરીરમાં વધુ બને છે, ત્યારે તે શરીરના સાંધામાં નાના સ્ફટિકોના સ્વરૂપમાં એકઠું થવાનું શરૂ કરે છે, જેના કારણે સાંધામાં દુખાવો અને ખેંચાણ આવે છે. સંધિવાને ઘણી જગ્યાએ કેરી પણ કહેવામાં આવે છે.","- વારંવાર થતા હુમલાઓથી બચવા માટે, ડૉક્ટરની સલાહથી યુરિક એસિડ ઘટાડવાની દવાઓ લઈ શકાય છે.
- પીડા અને બળતરા ઘટાડવા માટે નોન-સ્ટીરોડલ એન્ટિઇંફ્લેમેટરી દવાઓ (એનએસએઆઇડી), કોલ્ચીસીન અને સ્ટીરોઇડ્સ પણ લઈ શકાય છે. આ દવાઓ સામાન્ય રીતે 1-2 અઠવાડિયા માટે આપવામાં આવે છે.
- આર્થરાઇટિસના દર્દીઓએ પ્રોટીનયુક્ત આહાર ટાળવો જોઈએ. શરીરમાં પ્રોટીનની ઉણપને દૂર કરવા માટે બ્રાન લોટ અને છાલવાળી મગની દાળ ખાવી.
- ખાવામાં બાફેલા અનાજ, ચોખા, બાજરી, જવ, ઘઉં, ચપટી વગેરે ઉમેરો.
- બાફેલી લીલા શાકભાજી, ફણગાવેલા અનાજ, સાગો, કર્નલ, મધ અને તમામ પ્રકારના ફળો (સાઇટ્રસ ફળો અને કેળા સિવાય) પૂરતા પ્રમાણમાં લો.
- નિયમિત ચાલ, કસરત (ક્ષમતા પ્રમાણે) અને મસાજ. કબજિયાત થવા ન દો. ઉપવાસ અઠવાડિયામાં એકવાર કરવા જોઈએ. તેનાથી પીડામાં રાહત મળે છે."
શ્વાસનળીની અસ્થમા,"જ્યારે કોઈ વ્યક્તિને માઇક્રો શ્વાસની નળીઓમાં થતી કોઈ બિમારીને કારણે શ્વાસ લેવામાં તકલીફ થવા લાગે છે, ત્યારે આ સ્થિતિને અસ્થમા રોગ કહેવામાં આવે છે, આ રોગમાં વ્યક્તિને પણ કફની સમસ્યા હોય છે.",,"- અસ્થમાની સારવારમાં લસણ ખૂબ અસરકારક છે. લસણના પાંચ લવિંગને 30 મિલી દૂધમાં ઉકાળો અને રોજ આ મિશ્રણ લેવાથી દમના પ્રારંભિક તબક્કે મોટો ફાયદો થાય છે.
- ગરમ આદુ ચા સાથે લસણના પાવડરના બે ટુકડા પીવાથી અસ્થમા પણ નિયંત્રણમાં છે. સવારે અને સાંજે આ ચાનું સેવન કરવાથી દર્દીને ફાયદો થાય છે.
- એક ચમચી તાજા આદુનો રસ, એક કપ મેથીનો ઉકાળો અને સ્વાદ મુજબ મધ મિક્સ કરો. આ મિશ્રણ દમના દર્દીઓ માટે ઉત્તમ સાબિત થાય છે.
- અસ્થમાના દર્દી સેલેરીને પાણીમાં મિક્સ કરીને તેને ઉકાળો અને પાણીમાંથી વધતી વરાળ લો, આ ઘરેલું ઉપાય ખૂબ ફાયદાકારક છે.
- 4-5 લવિંગ લો અને 5 મિનીટ માટે 125 મિલી પાણીમાં ઉકાળો. આ મિશ્રણને ગાળ્યા પછી, એક ચમચી શુદ્ધ મધ નાખીને તેને ગરમ પીવો. દરરોજ બે થી ત્રણ વખત આ ઉકાળો લેવાથી દર્દીને ચોક્કસ ફાયદો થાય છે.
- 180 મીમી પાણીમાં મુઠ્ઠીભર ડ્રમસ્ટિકના પાન મિક્સ કરો અને લગભગ 5 મિનિટ સુધી ઉકાળો. મિશ્રણને ઠંડુ થવા દો, તેમાં એક ચપટી મીઠું, મરી અને લીંબુનો રસ પણ ઉમેરી શકાય છે. આ સૂપનો નિયમિત ઉપયોગ અસ્થમાની સારવારમાં અસરકારક માનવામાં આવે છે.
- મેથીનો ઉકાળો તૈયાર કરવા માટે એક ચમચી મેથીના દાણા અને એક કપ પાણી ઉકાળો. દરરોજ સવારે અને સાંજે આ મિશ્રણનું સેવન કરવાથી ચોક્કસ ફાયદો થાય છે.
- એક પાકેલા કેળાની છાલ લો, છરીથી એક નાનો ચીરો બનાવો અને તેને બે ચમચી ફિલ્ટર મરીના નાના ચમચીથી ભરો. ત્યારબાદ તેને છાલ્યા વગર કેળાના ઝાડના પાંદડામાં સારી રીતે લપેટી દો અને તેને દોરી વડે બાંધી દો અને 2-3- 2-3 કલાક રાખો. બાદમાં, કેળાનાં પાન સાથે, તેને આ રીતે આગમાં સળગાવી દો. ઠંડુ થાય એટલે કેળાની છાલ કા andો અને કેળું ખાઓ.",
સર્વાઇકલ સ્પોન્ડિલોસિસ,,"- પોલીસીથેમિયા - સીસા ઝેર - કિડની ટ્રી - હેમોલિટીક એનિમિયા - સ Psરાયિસસ અને અંગની ફેરબદલ - મૂત્રવર્ધક દવા (હાઇડ્રોક્લોરોથિયાઝાઇડ) લેવાથી પણ સંધિવા થઈ શકે છે. - નિયાસિન, એસ્પિરિન, સાયક્લોસ્પરીન અને ટેક્રોલિમસ જેવી દવાઓ પણ સંધિવા રોગનું કારણ બની શકે છે.",,
અછબડાં,"અછબડા એક વાયરલ ચેપ છે જેનાથી શરીર પર ફોલ્લાઓ અને ખંજવાળ આવે છે. જે લોકો બીમાર પડતા નથી અથવા જેમને અછબડા ટાળવા માટે રસી આપવામાં આવી નથી તેવા લોકોમાં અછબડા જોવા મળે છે. પહેલાના સમયમાં, દરેકને એક વખત અથવા નાના સુધી અછબડાની અસર થતી હતી, પરંતુ આજના સમયમાં આવા રોગો ઓછા થયા છે. મોટાભાગના લોકો માટે અછબડા એક હળવા રોગ છે. તેમ છતાં, રસી આપવામાં આવે તે વધુ સારું છે. અછબડાની રસીઓ અછબડા અને તેની સંભવિત ગૂંચવણોને રોકવાનો સલામત અને અસરકારક માર્ગ છે.","કયા લોકોને વધુ જોખમ છે? (ચિકન પોક્સના જોખમી પરિબળો) : ચિકનપોક્સ ખૂબ ચેપગ્રસ્ત છે, અને તે ઝડપથી ફેલાય છે. અન્ય લોકો વાયરસના ફોલ્લીઓ સાથે સીધા સંપર્ક દ્વારા અથવા ઉધરસ અથવા છીંક આવવાથી હવામાં રહેલા બેક્ટેરિયાના સંપર્કમાં હોઈ શકે છે. શીતળા (ચેચક) નું જોખમ વધુ હોય છે જ્યારે:
- ક્યારેય કોઈને ચિકન પોક્સ નથી.
- શીતળા માટે રસી આપવામાં આવી નથી.
- જે બાળકો શાળા અથવા છાત્રાલયોમાં ચેપથી અસરગ્રસ્ત છે.","ઝડપી ખંજવાળ, શરીરમાં લાલ ફોલ્લીઓ એ ચિકન પોક્સના મુખ્ય લક્ષણો છે. 1 થી 10 વર્ષની વયના બાળકોમાં ચિકન પોક્સનું જોખમ વધારે છે. ખોરાકમાં અનિયમિતતા એ ચિકન પોક્સના ફેલાવાનું મુખ્ય કારણ છે. આ સમય દરમિયાન કોઈએ ખીલીમાંથી ફોલ્લીઓ દૂર કરવાનો પ્રયાસ કરવો જોઈએ નહીં, આમ કરીને તે ફેલાય છે.  શીતળા (ચેચક) સમયે, યોગ્ય ખોરાકની કાળજી લેવી જોઈએ. મસાલેદાર અને તેલયુક્ત ખોરાક ખાવાનું ટાળો. ચિકનપોક્સ દર્દીને એસ્પિરિન ક્યારેય ન આપવી જોઈએ. તેનાથી તેની સ્થિતિ વધુ ખરાબ થઈ શકે છે. જ્યારે ચિકન પોક્સ થાય ત્યારે બહાર અને ગીચ વિસ્તારોમાં જવાનું ટાળો. જો શક્ય હોય તો, આ સમય દરમિયાન લોકોથી દૂર રહો.
જાણો ચિકન પોક્સ માટેના ઘરેલું ઉપાય
નીચેના ઉપાય અપનાવીને આ રોગથી મુક્તિ મેળવી શકાય છે.
1. ઓટ લોટ - જ્યારે ચિકન પોક્સ થાય છે ત્યારે શરીરમાં ખૂબ જ મજબૂત ખંજવાળ આવે છે. ખંજવાળ ટાળવા માટે, ઓટના લોટથી સ્નાન પાણીમાં ભળી જવું જોઈએ. 2 કપ લિટર પાણીમાં 2 કપ ઓટ લોટ મિક્સ કરો અને તેને લગભગ 15 મિનિટ સુધી ઉકાળો, રાંધેલા લોટને કોટન બેગમાં સારી રીતે બાંધો અને બાથના ટબમાં નહાવા.
2. બ્રાઉન વિનેગાર - બ્રાઉનમાં સરકોનો અડધો કપ પાણીમાં લેવાથી અને નહાવાથી ખંજવાળ મટે છે. તેનાથી અનાજની સોજો ઓછો થાય છે અને અનાજ પણ સુકાઈ જાય છે.
Le. લીંબુનો રસ - લીંબુનો રસ પીવાથી ચિકન પોક્સમાં રાહત મળે છે. ઉપચાર માટે, સમય સમય પર એક ગ્લાસ શુધ્ધ પાણીમાં લીંબુ સ્ક્વીઝ કરો.
Mar.માર્ગોસાના પાન - લીમડાના પાન ગરમ પાણીમાં લેવાથી અને સ્નાન કરવાથી ખંજવાળ સમાપ્ત થાય છે. લીમડો કુદરતી રીતે એન્ટી બેક્ટેરિયલ ગુણથી ભરપુર છે. આ કિસ્સામાં, ચિકન પોક્સ ઉપચારમાં ખૂબ ફાયદાકારક છે.
B. બેકિંગ સોડા - એક ગ્લાસ નવશેકા પાણીમાં અડધો ચમચી બેકિંગ સોડા મિક્સ કરો અને આ પેસ્ટને આખા શરીર પર સૂકવવા દો. તેનાથી ચિકનપોક્સ ઝડપથી મટાડવામાં આવે છે.
Apple. Appleપલ સીડર વિનેગાર - અડધા કપ સફરજનનો સરકો નવશેકું પાણીમાં નાખીને નહાવાથી રાહત મળે છે. આ પાણીમાં લગભગ 20 મિનિટ બેસો.
7. વિટામિન ઇ તેલ - વિટામિન-ઇ તેલ શરીર પર લગાવવાથી ચિકન પોક્સ દરમિયાન થતી ખંજવાળથી રાહત મળે છે.
8. ગાજર - બાફેલી ગાજર અને ધાણા ખાવાથી ચિકન પોક્સની નબળાઇ ઓછી થાય છે. ગાજર અને કોથમીરનો સૂપ પીવાથી રાહત મળે છે.
9. હર્બલ ટી - તુલસી, મેરીગોલ્ડ અને કેમોલી ઉમેરીને ચા બનાવો, પછી તેમાં મધ અથવા લીંબુ નાખીને પીવો. દિવસમાં tea- 3-4 વખત આ ચા પીવાથી રાહત મળે છે.","- એક ગ્લાસ પાણીમાં એક ચમચી બેકિંગ સોડા વિસર્જન કર્યા પછી, આ પાણીને સુતરાઉની મદદથી શરીર પર લગાવો. તમને શીતળાથી રાહત મળશે.                                                       - શીતળા દરમિયાન ખંજવાળ ન આવે તે માટે, ઓટમીલને પાણીમાં લો અને નહાવો.
- શીતળા (ચેચક) ને લીધે થતી ખંજવાળ ન થાય તે માટે, અનાજની ટોચ પર કmineલેમિન લોશન લગાવો.
- અસરગ્રસ્ત વિસ્તારમાં દિવસમાં બેથી ત્રણ વાર મધ લગાવો.
- શીતળાને ઝડપથી મટાડવા માટે, ગાજર અને લીલો ધાણા સૂપ પીવો.
- કપાસને ચંદનના તેલમાં પલાળીને અસરગ્રસ્ત સ્થળે લગાવો.
- લીલા વટાણાને ઉકાળીને પેસ્ટ બનાવો, તેને દાણા પર લગાવો, રાહત મળશે.
- એલોવેરાનો તાજો રસ કા Removeીને તેને બીજ પર લગાવો."
ક્રોનિક કોલેસ્ટિસિસ,,,,
